target,Treatment,sex,ID,log_fold_change
ESRRA,ecig0,m,7,-0.09970601124984038
ESRRA,ecig3,m,8,0.11165527651572403
ESRRA,ecig3,m,9,-0.2489786582897256
ESRRA,ecig3,m,10,-0.010081253730789629
ESRRA,ecig3,m,11,-0.057342963050034765
ESRRA,ecig6,m,12,0.3981470887451122
ESRRA,ecig6,m,13,0.32887256099293816
ESRRA,ecig6,m,14,0.22804166085530103
ESRRA,control,f,15,0
ESRRA,control,f,16,-0.00971225116210471
ESRRA,control,f,17,-0.05560909048100938
ESRRA,ecig0,f,18,0.43183433205788335
ESRRA,ecig0,f,19,0.36368011753757207
ESRRA,ecig0,f,20,0.13531828117888328
ESRRA,ecig3,f,21,-0.12218151278610447
ESRRA,ecig3,f,22,-0.25402632925702
ESRRA,ecig3,f,23,-0.3450322123961754
ESRRA,ecig3,f,24,-0.42397552257907917
ESRRA,ecig6,f,25,0.1061050660736679
ESRRA,ecig6,f,26,0.17752816531689547
ESRRA,ecig6,f,27,-0.06453589417842803
ESRRB,control,m,2,-1.008750853204011
ESRRB,control,m,3,-0.5423569531119217
ESRRB,control,m,4,-0.9605287377865982
ESRRB,ecig0,m,5,0.5873267404561796
ESRRB,ecig0,m,6,1.0663614921261901
ESRRB,ecig0,m,7,0.28716630003767296
ESRRB,ecig3,m,8,0.30278072591276395
ESRRB,ecig3,m,9,-1.0530583745578066
ESRRB,ecig3,m,10,-1.2578791836075802
ESRRB,ecig3,m,11,-1.1127827256975416
ESRRB,ecig6,m,12,-0.22161166014791803
ESRRB,ecig6,m,13,-0.3143541853320603
ESRRB,ecig6,m,14,0.20050765127189918
ESRRB,control,f,15,0
ESRRB,control,f,16,-0.8922882480695309
ESRRB,control,f,17,-0.03555958967980002
ESRRB,ecig0,f,18,0.16000876142324297
ESRRB,ecig0,f,19,0.0011873225088976699
ESRRB,ecig0,f,20,0.1877113478042167
ESRRB,ecig3,f,21,-0.8148120978794939
ESRRB,ecig3,f,22,-0.9231266037093376
ESRRB,ecig3,f,23,-0.8278382678518652
ESRRB,ecig3,f,24,-1.0789887973543062
ESRRB,ecig6,f,25,-0.8455145685792571
ESRRB,ecig6,f,26,-0.5987565483615443
ESRRB,ecig6,f,27,-0.7912764891104987
ESRRG,control,m,2,-0.05397010256661812
ESRRG,control,m,3,-0.2952808646007907
ESRRG,control,m,4,-0.23450941072413872
ESRRG,ecig0,m,5,0.6035399149926457
ESRRG,ecig0,m,6,0.15340464496636835
ESRRG,ecig0,m,7,0.3333783177620378
ESRRG,ecig3,m,8,0.4048970241318867
ESRRG,ecig3,m,9,0.21886048681154574
ESRRG,ecig3,m,10,0.29249242375095613
ESRRG,ecig3,m,11,0.22716891469187261
ESRRG,ecig6,m,12,-0.04371015743040066
ESRRG,ecig6,m,13,-0.5547889500788507
ESRRG,ecig6,m,14,-0.7124491958879225
ESRRG,control,f,15,0
ESRRG,control,f,16,-0.3802151533454021
ESRRG,control,f,17,-0.5565663515852487
ESRRG,ecig0,f,18,0.5751523047535398
ESRRG,ecig0,f,19,-0.9117695246509241
ESRRG,ecig0,f,20,0.5589918104663145
ESRRG,ecig3,f,21,0.14754617980875312
ESRRG,ecig3,f,22,0.1759047105502781
ESRRG,ecig3,f,23,0.2754881423858847
ESRRG,ecig3,f,24,0.04743474136075346
ESRRG,ecig6,f,25,-1.0104311424338088
ESRRG,ecig6,f,26,-0.3492987105247209
ESRRG,ecig6,f,27,-0.12915107965771547
HDAC1,control,m,2,0.07617208824882125
HDAC1,control,m,3,0.2881875141949643
HDAC1,control,m,4,0.18092552964196099
HDAC1,ecig0,m,5,0.19202649238006206
HDAC1,ecig0,m,6,0.24401647984120098
HDAC1,ecig0,m,7,1.086590286392816
HDAC1,ecig3,m,8,0.11488653248918099
HDAC1,ecig3,m,9,0.08357941294012723
HDAC1,ecig3,m,10,0.049141581436167765
HDAC1,ecig3,m,11,0.05726939131909557
HDAC1,ecig6,m,12,0.24439692154972115
HDAC1,ecig6,m,13,0.18695317365713787
HDAC1,ecig6,m,14,0.4015056804067354
HDAC1,control,f,15,0
HDAC1,control,f,16,0.014051357725605743
HDAC1,control,f,17,0.033815181060929476
HDAC1,ecig0,f,18,0.1972136606473464
HDAC1,ecig0,f,19,0.11075802651064776
HDAC1,ecig0,f,20,0.14705303246985788
HDAC1,ecig3,f,21,0.03023448946850435
HDAC1,ecig3,f,22,0.0847847370427653
HDAC1,ecig3,f,23,-0.04891201596147395
HDAC1,ecig3,f,24,-0.08564008367244318
HDAC1,ecig6,f,25,0.05055720509377669
HDAC1,ecig6,f,26,0.15829686404390228
HDAC1,ecig6,f,27,-0.01312538945894233
HDAC2,control,m,2,0.18809534166668448
HDAC2,control,m,3,0.4484835786460683
HDAC2,control,m,4,0.3117486503075907
HDAC2,ecig0,m,5,0.3652773826945654
HDAC2,ecig0,m,6,0.6673760348431539
HDAC2,ecig0,m,7,1.1869344210274644
HDAC2,ecig3,m,8,0.15982850466183868
HDAC2,ecig3,m,9,0.14387391489164847
HDAC2,ecig3,m,10,0.023642534623454434
HDAC2,ecig3,m,11,0.08535368373457007
HDAC2,ecig6,m,12,0.38950782889955166
HDAC2,ecig6,m,13,0.4216521128665477
HDAC2,ecig6,m,14,0.6495471721139594
HDAC2,control,f,15,0
HDAC2,control,f,16,0.17056558234118313
HDAC2,control,f,17,0.1725240834929735
HDAC2,ecig0,f,18,0.35149333960511026
HDAC2,ecig0,f,19,0.20414475588551007
HDAC2,ecig0,f,20,0.3912115382630119
HDAC2,ecig3,f,21,0.13341191842234154
HDAC2,ecig3,f,22,0.31325687079186554
HDAC2,ecig3,f,23,0.10628670757305238
HDAC2,ecig3,f,24,0.1238876303895304
HDAC2,ecig6,f,25,0.15948310284481362
HDAC2,ecig6,f,26,0.407888058168804
HDAC2,ecig6,f,27,0.1524787369057047
HDAC3,control,m,2,0.06333466408373074
HDAC3,control,m,3,0.1506971811853672
HDAC3,control,m,4,0.1496394821926028
HDAC3,ecig0,m,5,0.4512112114367804
HDAC3,ecig0,m,6,0.5402023008149572
HDAC3,ecig0,m,7,-0.15815610241792866
HDAC3,ecig3,m,8,0.04964731182888339
HDAC3,ecig3,m,9,-0.04036065687464684
HDAC3,ecig3,m,10,-0.026633689072369217
HDAC3,ecig3,m,11,-0.027235749063697866
HDAC3,ecig6,m,12,0.320489778703684
HDAC3,ecig6,m,13,0.3455616639525496
HDAC3,ecig6,m,14,0.5265694951953233
HDAC3,control,f,15,0
HDAC3,control,f,16,-0.11573170430500633
HDAC3,control,f,17,0.017849754210893805
HDAC3,ecig0,f,18,0.2939662064037279
HDAC3,ecig0,f,19,0.21417477431103893
HDAC3,ecig0,f,20,0.20955679355955656
HDAC3,ecig3,f,21,-0.06238942989734633
HDAC3,ecig3,f,22,-0.05846881523381819
HDAC3,ecig3,f,23,-0.10939586578026793
HDAC3,ecig3,f,24,-0.19530049461290128
HDAC3,ecig6,f,25,0.08054701738180474
HDAC3,ecig6,f,26,0.12833294033550016
HDAC3,ecig6,f,27,-0.07537387711231865
HDAC4,control,m,2,0.14440234294603715
HDAC4,control,m,3,0.21063767186198737
HDAC4,control,m,4,0.1510091686728734
HDAC4,ecig0,m,5,0.49573234367550034
HDAC4,ecig0,m,6,0.6726822905767231
HDAC4,ecig0,m,7,0.07071700328539648
HDAC4,ecig3,m,8,-0.18380837349843424
